row_id,stage,mode_or_operator,test,quantity,value,uncertainty_or_range,formula_or_criterion,baseline_or_ablation,result,evidence_class,truth_boundary,promotion_effect,next_gate
V4-0001,ADV-05,Outverse,Forward common-state projection,"x*→(C21*,C22*)","(-0.476181648882,0.672883229686)",,C22=3(1-fL)/2; C21=-3 Cpar sqrt[fL(1-fL)/2],,PASS,EXACT_ALGEBRAIC_TRANSLATION,,Outverse mapping retained as an admissible exact restricted-model transform.,
V4-0002,ADV-05,Inverse,Inverse reconstruction,"(C21*,C22*)→x*",point_residual=5.551115123125782702e-17,,fL=1-2C22/3; Cpar=-C21/[3sqrt(fL(1-fL)/2)],,PASS,NUMERICAL_ROUNDTRIP_PROOF,Only inside the restricted physical domain where the inverse is defined.,Inverse bookkeeping validated for this restricted transform.,
V4-0003,ADV-05,Dualverse,Jacobian round-trip,J^-1J,residual=2.081668171172168513e-17,,||J^-1 J - I||_F,,PASS,NUMERICAL_DIFFERENTIAL_PROOF,,,
V4-0004,ADV-05,Dualverse,Covariance round-trip,Σx→ΣC→Σx,residual=2.775642263565186517e-17,,ΣC=JΣxJ^T; Σx'=J^-1ΣC(J^-1)^T,,PASS,NUMERICAL_COVARIANCE_PROOF,,Orientation/frame re-expression preserves the local covariance object to machine precision.,
V4-0010,ADV-05,Heavy Prune / Ablation,Ablation JOINT_FULL,state / contradiction / local information volume,fL=0.551411180;Cpar=0.451340589;C21=-0.476181649;C22=0.672883230;χ²=2.499909291;area_proxy=0.01971004271690502,σfL=0.063410799;σCpar=0.311324425;corr=0.056278542,Area proxy = sqrt(det(local covariance)); smaller = tighter 2D local state uncertainty.,self,REFERENCE,ABLATION_RESULT,Local Gaussian approximation around the fitted state.,,"Retain components whose removal materially increases uncertainty, contradiction, or physical-state ambiguity."
V4-0011,ADV-05,Heavy Prune / Ablation,Ablation CMS_ONLY,state / contradiction / local information volume,fL=0.529999995;Cpar=0.189999994;C21=-0.201162354;C22=0.705000008;χ²=0.000000000;area_proxy=0.02950451271491152,σfL=0.065000000;σCpar=0.455000000;corr=0.069000000,Area proxy = sqrt(det(local covariance)); smaller = tighter 2D local state uncertainty.,JOINT_FULL,ABLATION_COMPUTED,ABLATION_RESULT,Local Gaussian approximation around the fitted state.,Joint reduces area proxy by 33.197% versus this ablation.,"Retain components whose removal materially increases uncertainty, contradiction, or physical-state ambiguity."
V4-0012,ADV-05,Heavy Prune / Ablation,Ablation ATLAS_ONLY_PHYSICAL,state / contradiction / local information volume,fL=0.891079949;Cpar=1.000000000;C21=-0.660873764;C22=0.163380077;χ²=0.047828277;area_proxy=0.1997355732482303,σfL=0.293333333;σCpar=1.364065604;corr=0.866497275,Area proxy = sqrt(det(local covariance)); smaller = tighter 2D local state uncertainty.,JOINT_FULL,BOUNDARY_ACTIVE,ABLATION_RESULT,Local Gaussian covariance is approximate; active-boundary ATLAS-only covariance is not a full constrained confidence region.,Joint reduces area proxy by 90.132% versus this ablation.,"Retain components whose removal materially increases uncertainty, contradiction, or physical-state ambiguity."
V4-0013,ADV-05,Heavy Prune / Ablation,Ablation ATLAS_ONLY_UNCONSTRAINED,state / contradiction / local information volume,fL=0.946665284;Cpar=1.489527994;C21=-0.709999668;C22=0.080002074;χ²=0.000000000;area_proxy=0.27692646064007087,σfL=0.293333333;σCpar=3.978943228;corr=0.971444749,Area proxy = sqrt(det(local covariance)); smaller = tighter 2D local state uncertainty.,JOINT_FULL,ABLATION_COMPUTED,ABLATION_RESULT,Local Gaussian approximation around the fitted state.,Joint reduces area proxy by 92.883% versus this ablation.,"Retain components whose removal materially increases uncertainty, contradiction, or physical-state ambiguity."
V4-0014,ADV-05,Heavy Prune / Ablation,Ablation REMOVE_ATLAS_C21,state / contradiction / local information volume,fL=0.549501796;Cpar=0.199419360;C21=-0.210477009;C22=0.675747307;χ²=1.923254454;area_proxy=0.028805769354513726,σfL=0.063460631;σCpar=0.454949302;corr=0.067373408,Area proxy = sqrt(det(local covariance)); smaller = tighter 2D local state uncertainty.,JOINT_FULL,ABLATION_COMPUTED,ABLATION_RESULT,Local Gaussian approximation around the fitted state.,Joint reduces area proxy by 31.576% versus this ablation.,"Retain components whose removal materially increases uncertainty, contradiction, or physical-state ambiguity."
V4-0015,ADV-05,Heavy Prune / Ablation,Ablation REMOVE_ATLAS_C22,state / contradiction / local information volume,fL=0.532227981;Cpar=0.446614557;C21=-0.472721225;C22=0.701658028;χ²=0.596134826;area_proxy=0.020149420543971747,σfL=0.064935916;σCpar=0.310743745;corr=0.053602247,Area proxy = sqrt(det(local covariance)); smaller = tighter 2D local state uncertainty.,JOINT_FULL,ABLATION_COMPUTED,ABLATION_RESULT,Local Gaussian approximation around the fitted state.,Joint reduces area proxy by 2.181% versus this ablation.,"Retain components whose removal materially increases uncertainty, contradiction, or physical-state ambiguity."
