row_id,stage,object,symbol,value,uncertainty,formula_or_constraint,inputs,dewey_relational_role,status,evidence_class,truth_boundary,next_validation,linked_source_ids
REL-0001,Resolution rule,Native-replication vs relativity-closure distinction,,NATIVE WORKSPACE NOT REQUIRED FOR DEWEY RELATIVITY CLOSURE,,Preserve native reported invariants; solve only latent relations required by the frozen constraints; label reconstructed coordinates as reconstructed.,,No-Nothing Truth + Woven Relativity + Proof Ledger,CORRECTION ESTABLISHED,GOVERNANCE_CORRECTION,This does not claim to recreate unpublished ATLAS bin contents or nuisance workspace.,"Use future exact native workspace, if released, as an external validation of the reconstructed closure.",R000027;R000051;R000063;R000341;R003667;ZZMASTER-0209;ZZMASTER-0210
REL-0002,Information frame,Observed mean-only evidence norm,Z_mean_obs,1.588219307051,,sqrt[(C21/σ21)^2 + (C22/σ22)^2],C21=-0.71±0.45; C22=0.08±0.44,Compressed skin / pre-correction state,COMPUTED,DERIVED_APPROXIMATION,Uses independent Gaussian marginal errors; not the ATLAS native full-shape statistic.,,ZZMASTER-0209
REL-0003,Information frame,Observed orthogonal latent shape coordinate,η_shape_obs,4.423523418352,,η = sqrt[Z_full^2 - Z_mean^2],Z_full=4.7; Z_mean=1.588219307051,Scar/history + shape information omitted by coefficient-mean compression,RESOLVED,RELATIVITY_EQUIVALENT_COORDINATE,"η is an information-space coordinate, not an ATLAS-published observable or new physical primitive.",Compare against exact native likelihood decomposition if machine-readable inputs become available.,ZZMASTER-0197;ZZMASTER-0209
REL-0004,Information frame,Observed information carried outside two means,F_shape_obs,0.885810748425,,η^2 / Z_full^2,η=4.423523418352; Z_full=4.7,Compression-loss fraction in orthogonalized evidence space,RESOLVED,DERIVED_RELATIVITY_METRIC,Fraction is defined in the constructed orthogonal significance frame; it is not a formal KL decomposition.,,ZZMASTER-0197;ZZMASTER-0209
REL-0005,Information frame,Expected orthogonal latent shape coordinate,η_shape_exp,4.187523745847,,"η = sqrt[Z_full,exp^2 - Z_mean,exp^2]","Z_full,exp=4.9; Z_mean,exp=2.544532349561",Expected shape-information carry,RESOLVED,RELATIVITY_EQUIVALENT_COORDINATE,"Information-space reconstruction, not a published native bin quantity.",,ZZMASTER-0210
REL-0006,Information frame,Expected information carried outside two means,F_shape_exp,0.730335490297,,"η_exp^2 / Z_full,exp^2",,Expected compression-loss fraction,RESOLVED,DERIVED_RELATIVITY_METRIC,Orthogonal significance-frame fraction only.,,ZZMASTER-0210
REL-0010,Cross-skin relativity,Common physical state optimizer,"x*=(fL,C_parallel)",argmin over physical state,,min_x [(C_ATLAS-T(x))^T Σ_A^-1 (C_ATLAS-T(x)) + (x_CMS-x)^T Σ_C^-1 (x_CMS-x)],ATLAS C21/C22 + marginal uncertainties; CMS fL/C_parallel + correlation; restricted CP-even transform,TRANSLATE → PROVE shared invariant state,SOLVED,CONSTRAINED_RELATIVITY_RECONSTRUCTION,Uses Gaussianized published intervals and diagonal ATLAS covariance because the ATLAS C21–C22 covariance is unavailable.,,ZZMASTER-0298;ZZMASTER-0299;ZZMASTER-0354
REL-0011,Cross-skin relativity,Resolved common longitudinal fraction,fL*,0.551411180209,±0.063410799260,,,Shared invariant/common-state coordinate,RESOLVED_PHYSICAL,CONSTRAINED_RELATIVITY_RECONSTRUCTION,"Approximate joint state, not an official ATLAS+CMS combination.",,ZZMASTER-0298;ZZMASTER-0299
REL-0012,Cross-skin relativity,Resolved common coherence parameter,C_parallel*,0.451340588867,±0.311324424948,,,Shared invariant/common-state coordinate,RESOLVED_PHYSICAL,CONSTRAINED_RELATIVITY_RECONSTRUCTION,"Approximate joint state, not an official ATLAS+CMS combination.",,ZZMASTER-0298;ZZMASTER-0299
REL-0013,Cross-skin relativity,Resolved common-state native correlation,"corr(fL*,C_parallel*)",0.056278541826,,,,Relational covariance,RESOLVED,DERIVED_COVARIANCE,,,
