row_id,advance_step,category,quantity,symbol,value,uncertainty_or_interval,units,formula_or_rule,inputs,assumptions,status,evidence_class,interpretation,source_name,source_url,source_locator,provenance_note
QBR-0001,ADV-02,Replication status,Exact ATLAS 4.7σ likelihood replication,,BLOCKED_EXTERNAL_NUMERICAL_INPUTS,,,"Requires bin-by-bin signal/background templates, nuisance response model/correlations, and exact likelihood workspace or equivalent numerical tables.",,No plot-digitization may be called exact.,OPEN_PROOF_GATE,REPLICATION_AUDIT,"The public ATLAS result page exposes the figures, coefficient table, shape-test description and reported significance, but this audit did not locate a machine-readable likelihood workspace or complete numerical bin templates needed for an exact independent reproduction.",ATLAS Collaboration,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/HIGP-2024-25/,Figure 06; auxiliary Figure 04a/04b; Table 01; arXiv:2603.26463,Searches also checked for a HEPData record; none was located in the available search results.
QBR-0002,ADV-03,Summary-information benchmark,Observed mean-only null separation,Z_mean_obs,1.588219307051,,sigma-equivalent,sqrt((C21/σ21)^2 + (C22/σ22)^2),C21=-0.71±0.45; C22=0.08±0.44,Independent Gaussian coefficient errors; diagnostic only.,COMPUTED,DERIVED_APPROXIMATION,Two coefficient means alone carry much less rejection sensitivity than the published full-shape test.,ATLAS Collaboration,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/HIGP-2024-25/,Table 01 / published coefficient measurements,
QBR-0003,ADV-03,Summary-information benchmark,Expected mean-only SM-vs-zero separation,Z_mean_exp,2.544532349561,,sigma-equivalent,sqrt((C21_SM/σ21_exp)^2 + (C22_SM/σ22_exp)^2),SM C21=-0.97±0.47; SM C22=0.64±0.43,Independent Gaussian expected coefficient errors; diagnostic only.,COMPUTED,DERIVED_APPROXIMATION,Even the optimal two-mean summary is substantially less sensitive than the expected full-shape result.,ATLAS Collaboration,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/HIGP-2024-25/,Published coefficient expectations,
QBR-0004,ADV-03,Summary-information benchmark,Observed Z ratio to full shape,Z_mean/Z_full,0.337919001500,,ratio,1.58821930705 / 4.7,QBR-0002; ATLAS reported 4.7σ,Not a formal information measure because the tests are not identical.,COMPUTED,HEURISTIC_SENSITIVITY_PROXY,Mean-only Z is about 33.8% of the full-shape Z.,,,,
QBR-0005,ADV-03,Summary-information benchmark,Observed Z² sensitivity proxy,(Z_mean/Z_full)^2,0.114189251575,,ratio,Z_mean^2/Z_full^2,QBR-0002; 4.7σ,Heuristic only; do not label as KL/Fisher information.,COMPUTED,HEURISTIC_SENSITIVITY_PROXY,"About 11.4% on a Z² proxy, demonstrating severe loss from early summary compression.",,,,
QBR-0006,ADV-03,Summary-information theorem,K_off local information rank,rank(J_K),1,of 2 coefficient dimensions,,K_off=(1/3)*sqrt(4 C21^2 + 2 C22^2); gradient is a 1×2 Jacobian with rank ≤1.,"C21,C22",Away from the origin.,PROVEN_FOR_THIS_MAPPING,MATHEMATICAL_RESULT,A scalar K_off necessarily destroys at least one local degree of freedom from the 2D coefficient vector; it cannot be a sufficient representation for a general 2-parameter family.,,,,
QBR-0007,ADV-03,Framework consequence,Distribution-preserving correction,CΩ_dist,REQUIRED,,,"retain {D(c21),D(c22),C21,C22,ρ,covariance,provenance} through the native likelihood before optional compression",,,PROMOTED,CANONICAL_CORRECTION,ADV-03 confirms mathematically why the corrected distribution-first Woven mapping is necessary.,,,,
QBR-0010,ADV-04,Common-basis transform,CMS → ATLAS C22,C22,C22 = (3/2)(1-fL),,,"ρ_{+−,−+}=C22/3=(1-fL)/2",,Same restricted CP-even scalar three-state basis and compatible normalization/conventions.,DERIVED,MODEL_CROSSWALK,Connects the CMS longitudinal fraction to the ATLAS off-diagonal transverse coherence element.,ATLAS + CMS restricted SDM parameterizations,https://arxiv.org/abs/2603.26463 ; https://repository.cern/records/02ejn-6hw46/files/Thesis_Jeffrey_Davis_CERN_CDS.pdf?download=1,,
QBR-0011,ADV-04,Common-basis transform,CMS → ATLAS C21,C21,C21 = -3 C_parallel sqrt[fL(1-fL)/2],,,"ρ_{00,+−}=C21/3=-C_parallel sqrt[fL(1-fL)/2]",,Same restricted CP-even scalar three-state basis and compatible sign convention.,DERIVED,MODEL_CROSSWALK,,ATLAS + CMS restricted SDM parameterizations,https://arxiv.org/abs/2603.26463 ; https://repository.cern/records/02ejn-6hw46/files/Thesis_Jeffrey_Davis_CERN_CDS.pdf?download=1,,
QBR-0012,ADV-04,Common-basis transform,ATLAS → CMS fL,fL,fL = 1 - (2/3) C22,,,inverse of QBR-0010,,Restricted-model physical region.,DERIVED,MODEL_CROSSWALK,,,,,
QBR-0013,ADV-04,Common-basis transform,ATLAS → CMS C_parallel,C_parallel,C_parallel = -C21/[3 sqrt(fL(1-fL)/2)],,,inverse of QBR-0011 after fL is obtained from C22,,0<fL<1 and same sign convention.,DERIVED,MODEL_CROSSWALK,,,,,
QBR-0014,ADV-04,Physicality gate,Restricted-model C21/C22 physical boundary,,C21^2 + 2 C22^2 - 3 C22 <= 0,,,|C_parallel|<=1 with fL=1-2C22/3,,Restricted CP-even scalar model.,DERIVED,MATHEMATICAL_RESULT,A direct physicality check in ATLAS coefficient coordinates.,,,,
QBR-0020,ADV-04,SM cross-representation,CMS SM mapped to ATLAS C21,C21_from_CMS_SM,-0.941553214110,,,QBR-0011,fL=0.61; C_parallel=0.91,,COMPUTED,DERIVED_CROSSCHECK,Compare with ATLAS SM C21=-0.97.,CMS PAS HIG-25-011,https://cms-results.web.cern.ch/cms-results/public-results/preliminary-results/HIG-25-011/,Figure 12 SM point,
QBR-0021,ADV-04,SM cross-representation,CMS SM mapped to ATLAS C22,C22_from_CMS_SM,0.585000000000,,,QBR-0010,fL=0.61,,COMPUTED,DERIVED_CROSSCHECK,Compare with ATLAS SM C22=0.64.,,,,
QBR-0022,ADV-04,SM cross-representation,ATLAS SM mapped to CMS fL,fL_from_ATLAS_SM,0.573333333333,,,QBR-0012,ATLAS SM C22=0.64,,COMPUTED,DERIVED_CROSSCHECK,0.5733 versus CMS SM 0.61; close despite distinct analysis parameterizations.,,,,
QBR-0023,ADV-04,SM cross-representation,ATLAS SM mapped to CMS C_parallel,C_parallel_from_ATLAS_SM,0.924522582641,,,QBR-0013,ATLAS SM C21=-0.97; C22=0.64,,COMPUTED,DERIVED_CROSSCHECK,0.9245 versus CMS SM 0.91; strong restricted-model cross-representation consistency.,,,,
QBR-0030,ADV-04,Observed cross-representation,CMS observed fL,fL,0.530000000000,+0.06/-0.07,,,,,REPORTED,PRIMARY_REPORTED,,CMS PAS HIG-25-011,https://cms-results.web.cern.ch/cms-results/public-results/preliminary-results/HIG-25-011/CMS-PAS-HIG-25-011_Table_003.pdf,Table 3,
QBR-0031,ADV-04,Observed cross-representation,CMS observed C_parallel,C_parallel,0.190000000000,+0.46/-0.45,,,,,REPORTED,PRIMARY_REPORTED,,CMS PAS HIG-25-011,https://cms-results.web.cern.ch/cms-results/public-results/preliminary-results/HIG-25-011/CMS-PAS-HIG-25-011_Table_003.pdf,Table 3,
