record_id,source_family,source_file,source_section,source_row_key,category,concept_name,property_name,canonical_value,computation_language,epistemic_status,units_or_frame,dependency_symbols,validation_rule,conflict_group,provenance_note
R000001,MASTER,,META,coverage,OMEGA Canon Master,scope,Consolidated source-exact canon/calculus registry assembled from recovered July–September 2026 CSV/workbook/docx sources and later canonical conversation upgrades.,assembly metadata,"DEFINE_EXPR := SYMBOLIC_EVAL(""assembly metadata"", preserve_tokens=true)",,,No silent overwrite of conflicting variants.,,Each value remains attributable to its source; derived values are explicitly labeled.,
R000002,MASTER,,META,accuracy,OMEGA Canon Master,accuracy_contract,Preserve source values verbatim; compute only explicit arithmetic identities; retain conflicting formulas as variants; never promote representational dimensions to physical dimensions without evidence.,canonical accuracy rule,"DEFINE_EXPR := SYMBOLIC_EVAL(""canonical accuracy rule"", preserve_tokens=true)",,,PRUNE → TRANSLATE → PROVE; provenance required.,,Designed to maximize source fidelity rather than force false unification.,
R000003,SOURCE_MANIFEST,all_modes_algebra_calculus_fully_organized.csv,MANIFEST,all_modes_algebra_calculus_fully_organized.csv,Provenance,all_modes_algebra_calculus_fully_organized.csv,sha256,1116955997f80b5ff802f90fa7517458a344772921d16a2f88a25fece6a99b99,"VALUE[""sha256""] := ""1116955997f80b5ff802f90fa7517458a344772921d16a2f88a25fece6a99b99""",source integrity,,,SHA-256 over materialized source bytes.,,size_bytes=158696
R000004,SOURCE_MANIFEST,all_modes_algebra_calculus_COMPLETE.csv,MANIFEST,all_modes_algebra_calculus_COMPLETE.csv,Provenance,all_modes_algebra_calculus_COMPLETE.csv,sha256,3a9c1d58dc57e76efbddcb1652a10c7ad96f30723ea9c7ce38f6002e35bb6e4e,"VALUE[""sha256""] := ""3a9c1d58dc57e76efbddcb1652a10c7ad96f30723ea9c7ce38f6002e35bb6e4e""",source integrity,,,SHA-256 over materialized source bytes.,,size_bytes=210639
R000005,SOURCE_MANIFEST,dewey_canon_master_equation_ledger.xlsx,MANIFEST,dewey_canon_master_equation_ledger.xlsx,Provenance,dewey_canon_master_equation_ledger.xlsx,sha256,5c700e74ee37270e0021bd6f6b9a0284d6a01f03cfd073c882158af47a56a2de,"VALUE[""sha256""] := ""5c700e74ee37270e0021bd6f6b9a0284d6a01f03cfd073c882158af47a56a2de""",source integrity,,,SHA-256 over materialized source bytes.,,size_bytes=29173
R000006,SOURCE_MANIFEST,woven_continuity_20736D.xlsx,MANIFEST,woven_continuity_20736D.xlsx,Provenance,woven_continuity_20736D.xlsx,sha256,6f8d14aab9ede1ee00ec4d11ef7d5a57fd0f3dd36a27df621bd8d9c38a2d85e9,"VALUE[""sha256""] := ""6f8d14aab9ede1ee00ec4d11ef7d5a57fd0f3dd36a27df621bd8d9c38a2d85e9""",source integrity,,,SHA-256 over materialized source bytes.,,size_bytes=2019415
R000007,SOURCE_MANIFEST,Atomic_Woven_Continuity_FULL_20736D.xlsx,MANIFEST,Atomic_Woven_Continuity_FULL_20736D.xlsx,Provenance,Atomic_Woven_Continuity_FULL_20736D.xlsx,sha256,0fc08bff3e77b75c766e82e8c7b8b24736e1a65d6507b1a68c60d95fefd69b51,"VALUE[""sha256""] := ""0fc08bff3e77b75c766e82e8c7b8b24736e1a65d6507b1a68c60d95fefd69b51""",source integrity,,,SHA-256 over materialized source bytes.,,size_bytes=3418069
R000008,SOURCE_MANIFEST,master_relational_skin_calculus_research_environment(1).xlsx,MANIFEST,master_relational_skin_calculus_research_environment(1).xlsx,Provenance,master_relational_skin_calculus_research_environment(1).xlsx,sha256,74ae2be7ff7add8629a0b45d566375ff781ff4c77f109dc1c84e35aea5e6beeb,"VALUE[""sha256""] := ""74ae2be7ff7add8629a0b45d566375ff781ff4c77f109dc1c84e35aea5e6beeb""",source integrity,,,SHA-256 over materialized source bytes.,,size_bytes=1933302
R000009,SOURCE_MANIFEST,unified_atlas_audit_report.xlsx,MANIFEST,unified_atlas_audit_report.xlsx,Provenance,unified_atlas_audit_report.xlsx,sha256,4a820eeff2af87e1ef65cc9d9797d15f247246acb45c8afbbcd49260418ae726,"VALUE[""sha256""] := ""4a820eeff2af87e1ef65cc9d9797d15f247246acb45c8afbbcd49260418ae726""",source integrity,,,SHA-256 over materialized source bytes.,,size_bytes=38717
R000010,SOURCE_MANIFEST,OMEGA_PHASED_BUILD_CANON.docx,MANIFEST,OMEGA_PHASED_BUILD_CANON.docx,Provenance,OMEGA_PHASED_BUILD_CANON.docx,sha256,ef150d2c47b220e15b9d349c4e16b61fe21a442785a4afe9e0f3980531c08994,"VALUE[""sha256""] := ""ef150d2c47b220e15b9d349c4e16b61fe21a442785a4afe9e0f3980531c08994""",source integrity,,,SHA-256 over materialized source bytes.,,size_bytes=38180
